Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Future Acres,https://www.crunchbase.com/organization/future-acres,,1-10,Venture - Series Unknown,,,,"Future Acres is an agricultural robotics company whose mission is to help carry farms into a sustainable future. Future Acres develops a robotic platform for farms. Future Acres's first product, Carry is a self-driving robot meant to, as the name suggests, carry crops around a farm.","El Segundo, California, United States",Future Acres is an agricultural robotics company whose mission is to help carry farms into a sustainable future.,"97,554",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://www.futureacres.co/,https://www.linkedin.com/company/futureacres,Suma Reddy,1,2,75099,USD,75099,Elemental Impact,1,1,"Agriculture, AgTech, Farming, Robotics"
Agrojusto,https://www.crunchbase.com/organization/agrojusto,,11-50,Seed,3100000,USD,3100000,"Agrojusto builds connectivity between small agricultural producers and retailers, cooperatives, and consumers. They also offer agriculture, ag-tech, food, and wholesale market services. The contact mode is by mail, phone, and physical address.","Mendoza, Mendoza, Argentina",Agrojusto is a mobile application that connects small producers with the market.,"97,555",,,,,Less than $1M,2018-01-01,year,Active,,,,,For Profit,https://agrojusto.com.ar,https://www.linkedin.com/company/agrojusto,Maria F Bonesso,1,1,3100000,USD,3100000,,,,"Agriculture, AgTech, Digital Marketing, Food and Beverage, Information Technology, Software"
Plantix,https://www.crunchbase.com/organization/peat,Growing,251-500,Venture - Series Unknown,5000000,EUR,5889399,Plantix is a digital business that focuses on creating an ecosystem that connects small-scale farmers and agri-retailers. Plantix and Plantix Partner are two fantastic apps that they created because they encourage profitable and sustainable farming.,"Berlin, Berlin, Germany","Plantix is a digital agro-ecosystem for small-scale farming that includes a crop doctor driven by AI, illness alarms.","97,763",Helm AG,https://www.crunchbase.com/organization/helm-ag,Acquisition,,$1M to $10M,2015-11-12,day,Active,2023-04-27,day,,,For Profit,https://plantix.net/,https://www.linkedin.com/company/peat-ug-haftungsbeschr%C3%A4nkt-/,"Alexander Kennepohl, Bianca Kummer, Charlotte Schuhmann, Korbinian Hartberger, Pierre Munzel, Robert Strey, Simone Strey",7,5,17150000,EUR,19785946,"RTP Global, Index Ventures, Atlantic Labs, Piton Capital, Happiness Capital",3,7,"AgTech, Apps, Artificial Intelligence (AI), Image Recognition"
Nutrition Technologies,https://www.crunchbase.com/organization/nutrition-technologies,Growing,101-250,Series A,,,,"We are a biotechnology company determined to reintroduce insects into the global food supply chain. We harness their natural potential as sustainable commodity ingredients for animal and plant nutrition. Nutrition Technologies is committed to revolutionising the agriculture sector by integrating insect products on a mass scale - as nature always intended!  We focus on producing significantly more protein per square meter than traditional methods and is zero waste with an intensive vertical farming system.  Founded by Nick Piggott and Tom Berry, our team has been rapidly growing since 2015. The Nutrition Technologies team now comprises over 150 people of 11 different nationalities, all united behind making the world a better place by improving the way the world feeds itself. Our Insect Products:  Hi.Protein® - an ideal animal-based protein substitute for fishmeal or soybean meal in the diets of Fish, Shrimp, Poultry, Swine, Pets and Reptiles. Hi.Protein® offers a range of positive impacts for monogastric animals' health and performance. Providing essential macro and micronutrients in the diet improves gut microbial communities by increasing the abundance of key bacteria involved in monogastric health. Hi.Frass® - the manure of Black Soldier Fly larvae. It is rich in chitin, which naturally boosts plants' defence mechanisms. It is also loaded with beneficial microorganisms which enhance soil fertility, structure and boosts microbial activities. Resulting in better plant health and nutrient-rich crops. Hi.Oil® - a unique source of energy, tailored for monogastric species such as poultry and swine. Mechanically extracted from Black Soldier Fly larvae fed on a 100% vegetable diet, it contains a high content of essential medium-chain fatty acids (MCFAs) that enhance animals’ health. Hi.Dried™ - a healthy snack made for pets, poultry, wild birds, or reptiles. Combining the Black Soldier Fly larvae meal and oil benefits, it’s the perfect solution for a direct feed application. Hi.Dried™ is a sustainable source of nutrients and minerals that will naturally enhance animal health.  Meet our Founders: Nick Piggott - Co-CEO Nick has over 15 years of business experience directing companies and projects. Previously, Nick worked for the UN and Oxfam, managing multi-million dollar sustainable development programmes. Tom Berry - Co-CEO Tom has over 12 years of experience in leadership and management roles in the UK military, UN, and financial sectors, focusing specifically on operations and risk management.","Singapore, Central Region, Singapore","Nutrition Technologies manufactures protein, oil and organic fertilizer from Black Soldier Fly larvae for a greener and healthier future.","97,874",,,,,$10M to $50M,2015-07-13,day,Active,,,,,For Profit,https://www.nutrition-technologies.com,https://www.linkedin.com/company/nutrition-technologies-ltd,"Nick Piggott, Richard Hayler, Thomas Berry",3,6,34000000,USD,34000000,"Openspace, ING Sustainable Investments, Sumitomo, Bunge Ventures, Seeds Capital",5,12,"Agriculture, AgTech, Animal Feed, Biotechnology, Farming, Sustainability, Waste Management"
Ohmic Biosciences,https://www.crunchbase.com/organization/ohmic-biosciences,,1-10,Pre-Seed,500000,USD,500000,,"Alameda, California, United States",Ohmic Biosciences uses protein engineering technology in providing solutions to any disease in any crop.,"97,922",,,,,,2021-01-01,year,Active,,,,,For Profit,https://ohmicbiosciences.com/,https://www.linkedin.com/company/ohmic-biosciences,"Matthew Bedewitz, PJ Steiner",2,1,500000,USD,500000,Y Combinator,1,1,"AgTech, Biotechnology, Genetics"
SaliCrop,https://www.crunchbase.com/organization/salicrop,Growing,1-10,Seed,100000,AUD,77042,"SaliCrop develops a non-genetically-modified treatment of seeds for various crop varieties, vegetable, and grain seeds. The seed treatment stimulates a specific epigenetic of the plant, which enables crop growth and yield in high-salinity soils or when irrigated with brackish water. Its treatments are carried out using a formulation containing materials generally recognized as safe by the US FDA. Based on proprietary expertise, SaliCrop's formulation is applicable to a wide range of crops like tomatoes, peppers, spinach, rice, wheat, and corn.","Kfar Vitkin, HaMerkaz, Israel","SaliCrop develops a non-genetically-modified treatment of seeds for various crop varieties, vegetable, and grain seeds.","98,008",,,,,$1M to $10M,2013-09-01,day,Active,,,,,For Profit,https://www.salicrop.com/,https://www.linkedin.com/company/salicrop/,"Omar Massarwa, Rca Godbole, Sharon Devir",3,2,677042,USD,677042,"SparkLabs Cultiv8, Rimonim Fund",1,2,"Agriculture, AgTech, Farming, Food and Beverage, Sustainability"
Epicrop Technologies,https://www.crunchbase.com/organization/epicrop-technologies,,11-50,Series A,3200000,USD,3200000,"Epicrop develops a revolutionary epigenetic technology for improving crop yields. It also provides support services for crop production to improve crop development and abiotic stress tolerance and is applicable to all plant species, enabling farmers to improve the crop yield while keeping the crop prices lower. Epicrop Technologies was founded in 2013 and is headquartered in Lincoln, Nebraska.","Lincoln, Nebraska, United States",Epicrop develops a revolutionary epigenetic technology for improving crop yields.,"98,045",,,,,$1M to $10M,2013-01-01,year,Active,,,,,For Profit,http://www.epicrop.com/,,"Michael Fromm, Sally Mackenzie",2,2,3416987,USD,3416987,"National Science Foundation, Nelnet, TechAccel, Speedway Properties, North Forty Ventures",2,7,"Agriculture, AgTech, Biotechnology, Life Science"
Shimejito,https://www.crunchbase.com/organization/shimejito,,1-10,Seed,10500000,EUR,12849381,"Shimejito, we are helping to solve the malnutrition problem with collaborative economy, data and IoT to produce fresh and organic food inside our houses.","Fundão, Castelo Branco, Portugal",Shimejito Urban Farms is an IT services and IT consulting that the local solution for global agriculture.,"98,122",,,,,$1M to $10M,2018-02-07,day,Active,,,,,For Profit,https://www.shimejito.com,https://www.linkedin.com/company/shimejito/,Adriel Rodrigues Oliveira,1,3,12869381,USD,12869381,"AcceliCITY powered by Leading Cities, Anjos do Brasil",,2,"Agriculture, AgTech, Farming, Internet of Things, Smart Cities"
Greengage Lighting,https://www.crunchbase.com/organization/greengage-lighting,,11-50,Venture - Series Unknown,567875,GBP,731829,"Greengage was founded in 2008 and is based on site at the Roslin Institute Edinburgh University. Their presence at the universities campus for veterinary studies, demonstrates their focus on delivering innovative and applicable technologies to the agricultural sector. They work for farmers improving the overall well-being and productivity of their livestock.","Edinburgh, Edinburgh, City of, United Kingdom",Agri-Tech company providing LED lighting induction systems.,"98,138",,,,,$1M to $10M,2008-01-01,year,Active,,,,,For Profit,http://greengage.global/,https://www.linkedin.com/company-beta/10934859,John Matcham,1,20,17110383,USD,17110383,"Old College Capital, Par Equity, Scottish Investment Bank, DMZ, The Pearse Lyons Accelerator",2,7,"Agriculture, AgTech, Information Technology, Lighting"
ONIT Sciences,https://www.crunchbase.com/organization/onit-sciences,,11-50,Seed,616000,USD,616000,"ONIT Sciences is an agriculture technology company providing organic nano-input technologies to cannabis and hemp cultivators. The company focused on increasing plant and human health through Organic Natural Input Technologies. Through rigorous research and development, they can help produce healthier, higher quality for plants for food, pharmaceutical, health & wellness, and commodity products. ONIT Sciences reduces surface tension on leaves which increases absorption and decreases water requirements. The company's flagship product, ONIT Grow, is a proprietary input technology that utilizes a groundbreaking non-GMO, all-organic formulation to dramatically enhance crop growth by stimulating the nutrient and water uptake in plants.","Newport Beach, California, United States",ONIT Sciences is an agriculture technology company providing organic nano-input technologies to cannabis and hemp cultivators.,"98,141",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://www.onitsciences.com,,,,2,1345360,USD,1345360,,,,"Agriculture, AgTech, Cannabis, Organic"
Zr3i.com,https://www.crunchbase.com/organization/digi-agri,Growing,1-10,Non-equity Assistance,,,,"Zr3i.com is a collaborative SAAS platform that strives to combine Digital Transformation Technologies focused on using cutting-edge Information Technology for the betterment of smallholder farmers using innovative business model. It deploys Big Data Analytics, Artificial Intelligence & Machine Learning, Computer Vision, Blockchain, GIS (Satellite & Drones), Mobile Technology and Cloud Computing to not only improve both profitability and productivity of the smallholder farmers but also make agriculture value chain (both input and output side) more transparent, sustainable, traceable and efficient.","Alexandria, Al Iskandariyah, Egypt",The First Pioneer Arabic Digital Agriculture Saas Platform,"98,226",,,,,,2021-01-01,year,Active,,,,,For Profit,http://Www.zr3i.com,https://www.linkedin.com/company/zr3icom,Walid Nasr,1,2,85000,USD,85000,"Flat6Labs, Flat6Labs Egypt, ASAP Accelerator",1,3,"Agriculture, AgTech, Analytics, Android, Artificial Intelligence (AI), Digital Marketing, Farming, Horticulture, Information Technology, Internet"
Xiaoyu Technology,https://www.crunchbase.com/organization/xiaoyu-nongzhi,,,Series A,1430000,USD,1430000,"Xiaoyu (Beijing) Technology is a leading provider of smart agricultural IoT, big data and cloud computing platform products and solutions in China. The intelligent agricultural Internet of Things series products developed by the company: based on low-power embedded technology, wireless communication technology and intelligent sensing technology to realize the informatization and intelligent hardware of agricultural facilities, including: intelligent temperature control equipment, intelligent rolling shutter machine , intelligent soil detector, small weather station, intelligent irrigation equipment, etc.","Changping, Beijing, China",Xiaoyu Nongzhi is an agricultural Internet of Things enterprise.,"98,260",,,,,,2017-01-01,year,Active,,,,,For Profit,http://www.raintech.net/,,,,1,1430000,USD,1430000,Shunwei Capital,1,1,"Agriculture, AgTech, Big Data, Cloud Computing, Internet of Things"
Verility,https://www.crunchbase.com/organization/verility,,1-10,Series A,3500000,USD,3500000,"Verility is developing fertility products that enable us to address the critical demand for the projected need of more meat protein, resulting in improved food sustainability, by helping livestock producers and breeders accelerate reproductive performance through accurate, simple, and cost-effective analysis of animal semen samples at the point-of-care as well as ovulation prediction.","Maxwell, Indiana, United States",Veterinary provides fertility analysis products that enable livestock producers and breeders to accelerate reproductive performance.,"98,602",,,,,$1M to $10M,2018-10-01,month,Active,,,,,For Profit,https://www.verilityco.com,https://www.linkedin.com/company/verility-inc/?viewAsMember=true,,,3,3600000,USD,3600000,"gbeta, Mountain Group Capital, Purdue Foundry, Purdue Ag-celerator",3,4,"Agriculture, AgTech, Fertility"
Farmstaff,https://www.crunchbase.com/organization/farmstaff,,1-10,Seed,350000000,KRW,255194,,"Seoul, Seoul-t'ukpyolsi, South Korea",Farmstaff specializes in creating a supply chain management platform for developing an online agricultural product distribution market.,"98,663",,,,,,2022-01-05,day,Active,,,,,For Profit,http://www.farmstaff.co.kr/,,,,1,350000000,KRW,255194,,,,"Agriculture, AgTech, Online Portals, Supply Chain Management"
INCLUIRTEC,https://www.crunchbase.com/organization/incluirtec,,11-50,Non-equity Assistance,,,,"IncluirTec is an AgriFintech company that leverages technology to provide formal credit access to underserved communities through its SaaS platform.  Its mission is to promote health and financial inclusion for smallholder farmers and rural microentrepreneurs by simplifying origination and access, making it quicker and 100% digital, establishing trust between producers and Financial Institutions. IncluirTec's algorithm assesses the risk of lending money to smallholder farmers and rural microentrepreneurs. This assessment takes into consideration their economic and productive capacities as well as open data market information. Based on this assessment, Financial Institutions can grant credits under conditions that reflect their ability to payback.","Bogotá, Distrito Especial, Colombia",Unlocking Credit access for smallholder farmers,"98,825",,,,,,2022-05-01,month,Active,,,,,For Profit,https://incluirtec.co,https://www.linkedin.com/company/incluirtec/,,,2,420000,USD,420000,Acumen,1,1,"AgTech, FinTech"
Coffee Exchange,https://www.crunchbase.com/organization/coffeeexchange,Growing,11-50,Venture - Series Unknown,,,,"Coffee Exchange shines a light on the opaque coffee industry. Our vision is to provide a free market B2B digital coffee trading platform based on true and transparent information where stakeholders can make buying and selling decisions based on factual concurrent and real-time information. Coffee Exchange brings into play technology to streamline the entire green coffee trading process, from farm gate to the consumers smart phone. CEx provides coffee evaluation, logistics, customs clearance, quality inspections, marketing support and final delivery for all listed coffees.  The Coffee Exchange market place simplifies and shortens the supply chain which increases the price received to coffee producers and reduces the cost to Coffee Roasters. Our technology provides a nuanced solution to order consolidation, freight tracking, sample management, quality control, data analytics as well as the distribution of promotion and marketing materials. Coffee Exchange has over 1100 Coffee Roasters in China actively trading with select coffee producers from Ethiopia, Rwanda, Ecuador, Colombia, Guatemala and El Salvador. We are currently trialing our platform in the USA and will expand to the UK and South Korea.","Shanghai, Shanghai, China",Coffee Exchange is a SaaS enabled B2B marketplace that connects roasters directly to coffee farmers.,"98,973",,,,,$1M to $10M,2018-08-15,day,Active,,,,,For Profit,https://www.coffee.exchange,https://www.linkedin.com/company/coffeeexchange/,Lewis Harding,1,4,1260000,USD,1260000,"Artesian VC, SOSV",2,2,"AgTech, B2B, Coffee, E-Commerce Platforms, Marketplace, SaaS"
Animal Alternative Technologies,https://www.crunchbase.com/organization/animal-alternative-technologies,,1-10,Seed,,,,"Animal Alternative Technologies is a recently founded biotechnology B2B start-up based in the University of Cambridge. We are engineering a scalable, end-to-end ecosystem for Cultured Meat production, including specialist processes, enabling technologies, software, hardware and raw materials to democratize access to sustainable food and tackle some of the world's biggest sustainability and health challenges.","Cambridge, Cambridgeshire, United Kingdom","Scalable, complete Cultured Meat production systems to tackle global sustainability challenges","99,066",,,,,,2020-01-01,year,Active,,,,,For Profit,https://www.animalalternativetechnologies.com/,https://www.linkedin.com/company/animal-alternative-technologies,"Clarisse Beurrier, Yash Mishra",2,2,200000,USD,200000,Big Idea Ventures,1,1,"AgTech, Alternative Protein, B2B, Biotechnology, CleanTech, Food and Beverage, Hardware, Meat and Poultry, Software Engineering"
BeeSage,https://www.crunchbase.com/organization/beesage,,11-50,Pre-Seed,190000,EUR,209922,"Modular beehive monitoring system that boosts productivity and honey yield to benefit the Earth through data-driven beekeeping. Our software and hardware help beekeepers, farmers and conservation stakeholders mitigate risks and enable informed decisions.","The Hague, Zuid-Holland, The Netherlands",Modular beehive monitoring system that boosts honey yield while turning every apiary into a weather station.,"99,140",,,,,,2020-05-20,day,Active,,,,,For Profit,https://beesage.co,https://www.linkedin.com/company/beesage,"Ru Wikmann, Ģirts Kaģis",2,2,240000,EUR,267597,"Techstars, Startup Wise Guys, Buildit Accelerator",2,3,"AgTech, Hardware, Predictive Analytics, Software, Sustainability"
SupPlant,https://www.crunchbase.com/organization/supplant,,101-250,Series C,10825000,USD,10825000,"SupPlant is a company in the field of “IOT” in agriculture. By changing the basic concept of irrigation methods, the SupPlant's unique technology can save water on global scales and improve productivity and yields. During the past 4 years, SupPlant developed a unique artificial intelligence system that is able to analyze data generated from crops through sensors and translate this data into irrigation commands.","Affula, HaZafon, Israel",SupPlant is an agricultural technology company that develops wireless sensing equipment to collect real-time sensor data from farms.,"99,170",,,,,,2012-01-01,year,Active,,,,,For Profit,http://supplant.me,https://www.linkedin.com/company/supplant,Zohar Ben Ner,1,6,59825000,USD,59825000,"Smart Agro, Red Dot Capital Partners, Maor Investments, National Center for Research & Development, Mivtach Shamir Holdings LTD",6,8,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Machine Learning"
Kebai Science and Technology,https://www.crunchbase.com/organization/kebai-science-and-technology,,51-100,Series B,6000000,USD,6000000,"Kebai Science and Technology Co., Ltd. commits to the development of intelligent, high-performance, low-cost agricultural IoT systems. Their systems provide overall solution of precision and standardization management of irrigation, fertilizer, pesticide spraying, and cultivation mainly for facility horticulture and high value-added crops.They also provides environmental sensing big data monitoring, transmission, processing, mining and application services for agricultural non-point source pollution control, natural disaster prevention and mitigation, smart city, etc. They help farmers significantly reduce cost and to get substantial increase in crop quality and yield.","Beijing, Beijing, China","Kebai Science and Technology Co. commits to the development of intelligent, high-performance, low-cost agricultural IoT systems.","99,276",,,,,$1M to $10M,2008-01-01,year,Active,,,,,For Profit,http://kebaiiot.com,https://www.linkedin.com/company/北京科百宏业科技有限公司,Zongbo Liu,1,3,6000000,USD,6000000,"Creadev, ECC Capital, Conswall Capital, Microsoft Accelerator, Hangzhou Senhe Touzi Guanli Youxian Gongsi",2,5,"Agriculture, AgTech, GreenTech"
Behtar Zindagi,https://www.crunchbase.com/organization/behtar-zindagi,,11-50,Seed,,,,"We are a D2F marketplace which helps increase farm productivity through mechanization & quality inputs. We use technology to combine knowledge dissemination (videos), demand aggregation, last-mile fulfilment(logistics) & farming data analytics to serve farmers at pan-India scale.","New Delhi, Delhi, India","India's first Direct to Farmer Agri-marketplace offering Agri Inputs including Livestock feed, Agri Machineries, Agro-chemicals.","99,299",,,,,,2018-09-20,day,Active,,,,,For Profit,https://behtarzindagi.in/,https://www.linkedin.com/company/behtar-zindagi/,Praveen Rajpal,1,2,100000,USD,100000,"India Accelerator, Indigram Labs",,2,"Agriculture, AgTech, B2C, Internet, Marketplace"
E-Nano,https://www.crunchbase.com/organization/e-nano,,1-10,Seed,,,,"E-Nano help sports managers and groundskeepers to measure, analyse and collect the data.","London, England, United Kingdom",E-Nano brings robotics potentials into the real world of Sports Turf management and Agro-Industry.,"99,486",,,,,Less than $1M,2019-06-17,day,Active,,,,,For Profit,https://www.e-nano.io/,https://www.linkedin.com/company/e-nano-ltd,"Alan Jurnet Berteloot, Christian von Scheidt, Erwann Lompech Leneveu, Gabor Zichy",4,2,175000,GBP,239328,SFC Capital,1,1,"AgTech, Artificial Intelligence (AI), Robotics, Sports"
CubicAcres,https://www.crunchbase.com/organization/cubicacres,Growing,1-10,Undisclosed,3700000,USD,3700000,"CubicAcres is a vertical farming company that strives to provide fresh, nutrient-dense produce. With a focus on sustainability, the company grows crops without the use of pesticides or fungicides by employing hyper-local farming techniques and technology. CubicAcres' vertical farming systems are powered by renewable resources and produce high-quality crops using non-GMO seeds. Harvesting robotics and AI-based crop management software from the company ensure consistent quality and freshness, with daily harvesting for maximum freshness.","East Setauket, New York, United States",A decentralized network of fully-automated indoor vertical farms.,"99,619",,,,,,2019-10-15,day,Active,,,,,For Profit,https://www.Cubic-Acres.com,https://www.linkedin.com/company/hydrorganicfarms,Ryan McGann,1,2,4400000,USD,4400000,,,,"Agriculture, AgTech, CleanTech, Hydroponics, Mechanical Engineering, Robotics, Sustainability"
Zondii,https://www.crunchbase.com/organization/zondii,Growing,1-10,Grant,30000,AUD,18882,Zondii is a Realtime Smartphone Authentication Service.,"Armidale, New South Wales, Australia",Zondii is a Realtime Smartphone Authentication Service.,"99,627",,,,,Less than $1M,2019-01-01,year,Active,,,,,For Profit,https://zondii.com,https://www.linkedin.com/company/zondii,,,4,1160000,AUD,772903,"Scalare Partners, Scale Investors, Hunter Angels, METS Ignited",1,4,"AgTech, Apps, Consulting, Financial Services, Information Technology"
Lytos Technologies,https://www.crunchbase.com/organization/lytos-technologies,,1-10,Debt Financing,310800,USD,310800,"Lytos Technologies is an agtech company that develops green, enzymatic, and broad-based bio fungicides. The company can protect high-value agriculture crops and restore crop yields previously lost to fungal pathogens, which supports increased revenues for farmers. They apply techniques in synthetic biology and protein engineering to develop organic biopesticides that outperform traditional chemical pesticides while protecting the health of consumers and the environment.  Lytos Technologies addresses the key concerns of growers, producers, and consumers in terms of providing high-quality products, reducing environmental impact and risks to human health, and contributing to organic, sustainable agricultural practices. The company is based in Charlottesville, VA, USA.","Charlottesville, Virginia, United States","Lytos Technologies is an agtech company that develops green, enzymatic, and broad-based bio fungicides.","99,763",,,,,,2018-01-01,year,Active,,,,,For Profit,https://www.lytostech.com,https://www.linkedin.com/company/lytostech,"Bryan Berger, Evan Eckersley",2,3,710800,USD,710800,CAV Angels,,1,"Agriculture, AgTech, Biotechnology, Farming"
Optimiz,https://www.crunchbase.com/organization/optimiz-claims,,1-10,Pre-Seed,120000,USD,120000,"Optimiz is digitizing proof of condition and automating cargo claims. Users can track and quickly identify problematic activities that cause cargo damage along the supply chain by digitizing their internal processes. The company assists international traders and their insurers in remotely inspecting the handling, quality, and condition of cargo and automating the claims process in the event of damage.","London, England, United Kingdom",Optimiz enables remote containerised cargo inspections and claims optimisation,"100,096",,,,,,2018-08-15,day,Active,,,,,For Profit,http://optimiz.claims,https://www.linkedin.com/company/optimiz-claims/,Kingsly Kwalar,1,6,562657,USD,562657,"Techstars, Right Side Capital Management, Forum Ventures, EASME - EU Executive Agency for SMEs, Next Logistics Accelerator",2,5,"AgTech, Information Technology, Insurance, InsurTech, Logistics, Shipping"
Next Green,https://www.crunchbase.com/organization/next-green,,,Seed,201600000,KRW,141837,,"Seoul, Seoul-t'ukpyolsi, South Korea",Next Green is a precision agriculture specialist for sustainable agriculture and provides solutions for small farmers.,"100,152",,,,,,2021-10-01,month,Active,,,,,For Profit,http://nextgreen.kr/,,,,1,201600000,KRW,141837,,,,"Agriculture, AgTech, Farming, Sustainability"
Agritrack,https://www.crunchbase.com/organization/agritrack-9601,,11-50,Pre-Seed,383000,EUR,433020,"A post-harvest automation platform that optimises perishable food value chains such as fish & dairy, improving food safety & quality, reducing costs and securing traceability compliance. The company was founded in 2020 and is based in Athens, Attica.","Athens, Attiki, Greece","Agritrack is an agriculture process automation platform that tracks quality from farm to fork, aiming to reduce food loss and food fraud.","100,215",,,,,,2020-01-01,year,Active,,,,,For Profit,http://www.agritrack.io,https://www.linkedin.com/company/agritrack-sa/,,,1,383000,EUR,433020,Startup Wise Guys,,1,"Agriculture, AgTech, Food and Beverage"
Zhongnong Puhui,https://www.crunchbase.com/organization/zhongnong-puhui,,11-50,Corporate Round,3870000,USD,3870000,"Zhongnong Puhui Jinfu Technology Co., Ltd. is an Internet + agricultural company specializing in agricultural plantation management services. Based on big data technology, the company focuses on agricultural planting links to improve customer planting efficiency while helping customers grow stable and high-quality agricultural products. The company is committed to building an ecological circle of modern agricultural industry, empowering participants in the agricultural industry chain, making agricultural consumption more convenient, making agricultural production more efficient, and making agricultural products more efficient.","Xicheng, Hebei, China",Zhongnong Puhui specializes in agricultural plantation management services.,"100,241",,,,,$10M to $50M,2016-12-28,day,Active,,,,,For Profit,http://www.znphjf.com,,,,3,10806198,USD,10806198,"IDG Capital, CE Innovation Capital, Aistar Ventures, Baize Capital, Sino-Agri Leading Biosciences",2,5,"Agriculture, AgTech, Big Data, Farming, Internet"
Wolkus,https://www.crunchbase.com/organization/wolkus,,1-10,Seed,1600000,USD,1600000,,"Bangalore, Karnataka, India",Wolkus provides technology for domains like agriculture and the environment.,"100,253",,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,http://wolkus.com,https://www.linkedin.com/company/wolkus,,,1,1600000,USD,1600000,"Artesian VC, Wavemaker Partners, Zeroth.AI, Omnivore, Animoca Ventures",2,7,"AgTech, Internet of Things, Small and Medium Businesses"
Argo Living Soils,https://www.crunchbase.com/organization/argo-living-soils,,,Post-IPO Equity,131750,USD,131750,"specializes in producing and developing organic goods such as soil amendments, living soils, biofertilizers, vermicompost, and compost extracts designed specifically for high-value crops. The Company's vision and general business strategy are to build an established brand of organic and/or environmentally friendly products.","Vancouver, British Columbia, Canada","Argo Living Soils specializes in producing organic products like soil amendments, biofertilizers, vermicompost, and compost extracts.","100,279",,,,,,2018-01-01,year,Active,2021-08-03,day,,,For Profit,https://argolivingsoils.com,,,,2,352435,USD,352435,,,,"Agriculture, AgTech, Farming"
Agrata,https://www.crunchbase.com/organization/agrata,,1-10,Seed,2000000,USD,2000000,"Agrata is a deep tech company building a sustainable aquaculture value chain for the husbandry of mud crab, otherwise known as Scylla serrata. Mud crab are enjoyed around the world in both soft-shell and hard-shell form. We develop technologies, including a world's first RAS hatchery for the species, that solve key industry bottlenecks that can take mud crab from a species that is predominantly wild caught and overfished to one that is sustainably farmed at industrial scale.","Singapore, Central Region, Singapore","Aquaculture, Deep Tech, Aquatech, Agritech, Sustainability, Fisheries","100,528",,,,,,2019-10-01,day,Active,,,,,For Profit,https://www.agrata.co/,https://www.linkedin.com/company/agrata-group,,,1,2000000,USD,2000000,,,,"AgTech, Aquaculture, Sustainability"
3Rein Inc.,https://www.crunchbase.com/organization/3rein-inc,,11-50,Pre-Seed,2500000,USD,2500000,"3Rein, Inc. is a company based in Southern Oregon dedicated to improving equine welfare through technology. Our mission is to digitize operations in classical, analog, industries that have yet to experience an effective digital transformation. We agnostically leverage the latest software and hardware technologies to have our platform work hard, so you don't have to. We want to give you more time to do what you love.","Eagle Point, Oregon, United States","SaaS, IaC, VaaS, Mobile Development, Backend Development, IoT Development, Informational Vault, Educational, Augmented Reality","100,686",,,,,$1M to $10M,2018-12-06,day,Active,,,,,For Profit,https://www.3rein.com,https://www.linkedin.com/company/3rein,"Macy Wilson, Noah Cornish",2,1,2500000,USD,2500000,,,,"AgTech, Consulting, Developer Tools, Education, Information Technology, Mobile Apps, SaaS, Software"
Wami Agro,https://www.crunchbase.com/organization/wamiagro,,11-50,Pre-Seed,2210000,GHS,258278,"Wami Agro is an agri-tech company involved in partnering with smallholder farmers to grow, aggregate, and sell diverse agricultural produce on the Ghanaian and international markets. We achieve this by providing tech-enabled interventions for smallholder farmers and ensuring easy access to credit and markets for farmers. Today, the Company aggregates rice, maize, soya bean, and cassava from over 10,000 smallholder farmers and sells them to poultry farmers, FMCGs, distributors, and food service businesses within Ghana.","Accra, Greater Accra, Ghana","An agri-tech company partnering with smallholder farmers to grow, aggregate, and sell diverse agricultural produce in Ghana and beyond.","100,870",,,,,,2020-03-03,day,Active,,,,,For Profit,https://wamiagro.com/,https://www.linkedin.com/company/wami-cooperatives/?originalSubdomain=gh,"Caleb Edwards, Jonah Jones Tuokpier",2,2,2210000,GHS,258278,"International Trade Centre, Wangara Green Ventures",2,2,"Agriculture, AgTech"
Dryland Genetics,https://www.crunchbase.com/organization/dryland-genetics,Growing,1-10,Venture - Series Unknown,3800000,USD,3800000,Dryland Genetics specializes in developing solutions for sustainable food supply in a world with less water. It applies cutting-edge quantitative genetics and high throughput phenotyping to improve the yield and agronomic properties of naturally water-use efficient crops which can grow in parts of the world where crops such as corn or rice would die.,"Ames, Iowa, United States",Dryland Genetics specializes in developing solutions for sustainable food supply in a world with less water,"100,939",,,,,$1M to $10M,2014-01-01,year,Active,,,,,For Profit,https://www.drylandgenetics.com/,,"James Schnable, Patrick S. Schnable",2,1,3800000,USD,3800000,"Stine Seed Inc., Next Level Ventures",2,2,"Agriculture, AgTech, Farming"
